Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DOrder 3 |*| DOrder 4/x + d/sin x * exp (x^2 + x)/liftSmoothSerisAD,1.920574001901991e-4,1.912637883172876e-4,1.932966088490534e-4,3.5021612344653183e-6,2.288248103467826e-6,5.796630388109574e-6
DOrder 3 |*| DOrder 4/x + d/sin x * exp (x^2 + x)/liftSmoothSuccinctTower,4.3944408514257596e-5,4.376351364452471e-5,4.411398394891083e-5,6.078644548425835e-7,4.942488686929946e-7,8.64653007781655e-7
DOrder 3 |*| DOrder 4/x + d/sin x * exp (y^2 + z)/liftSmoothSeries,0.1464762322677381,0.145767249185,0.1475343104690476,1.4981209551593105e-3,6.34701502768723e-4,2.3675524143563376e-3
DOrder 3 |*| DOrder 4/x + d/sin x * exp (y^2 + z)/liftSmoothSerisAD,2.2413204612908898e-4,2.233632777072273e-4,2.247581801287495e-4,2.263419111286714e-6,1.912258459694327e-6,2.7598775542906832e-6
DOrder 3 |*| DOrder 4/x + d/sin x * exp (y^2 + z)/liftSmoothSuccinctTower,6.944802174256016e-5,6.917895405199097e-5,6.98035956520926e-5,1.06090343117214e-6,6.692606889471686e-7,1.6897455856845955e-6
DOrder 3 |*| DOrder 4/dense/identity/liftSmoothSeries,1.278152381705404e-3,1.264971993127989e-3,1.308186871958916e-3,6.599303829216127e-5,1.547750346381106e-5,1.1075336172699528e-4
DOrder 3 |*| DOrder 4/dense/identity/liftSmoothSerisAD,6.056735020923422e-4,5.975918706795501e-4,6.359889594055425e-4,4.3778440964955495e-5,7.49386716918967e-6,9.10098079788932e-5
DOrder 3 |*| DOrder 4/dense/identity/liftSmoothSuccinctTower,1.0291318927590827e-4,1.0248721160115063e-4,1.0364022924017702e-4,1.8391272110994184e-6,1.1129481919951068e-6,2.8084939318560322e-6
DOrder 3 |*| DOrder 4/dense/exp x/liftSmoothSeries,1.5769622242732715e-3,1.5592049634190288e-3,1.6183456500236668e-3,8.586080076049789e-5,4.946815166524277e-5,1.4222731500509642e-4
DOrder 3 |*| DOrder 4/dense/exp x/liftSmoothSerisAD,6.479009793821674e-4,6.404538510593823e-4,6.738927101098793e-4,4.2628664083959765e-5,1.0431783418284708e-5,8.84181565249188e-5
DOrder 3 |*| DOrder 4/dense/exp x/liftSmoothSuccinctTower,1.2563742124527938e-4,1.247981205023754e-4,1.2727549088513887e-4,3.911264583290286e-6,1.8264975210530895e-6,8.409991022797663e-6
DOrder 3 |*| DOrder 4/dense/sin x * exp (x^2 + x)/liftSmoothSeries,2.876580406078657e-3,2.848985925620082e-3,2.965127305971512e-3,1.3321390157746137e-4,4.837303326373727e-5,2.7557902782476997e-4
DOrder 3 |*| DOrder 4/dense/sin x * exp (x^2 + x)/liftSmoothSerisAD,7.936155480702703e-4,7.850374011608389e-4,8.345206316089436e-4,5.214726856615001e-5,9.232354841201855e-6,1.1733337414877141e-4
DOrder 3 |*| DOrder 4/dense/sin x * exp (x^2 + x)/liftSmoothSuccinctTower,1.8309847755233606e-4,1.8255105793822825e-4,1.835975345583337e-4,1.9077630544582327e-6,1.607252143168588e-6,2.364361483930089e-6
DOrder 3 |*| DOrder 4/dense/sin x * exp (y^2 + z)/liftSmoothSeries,0.1670646449377381,0.16544034272190475,0.17110421865,3.971966373517803e-3,1.4323788186481885e-3,6.516126304063015e-3
DOrder 3 |*| DOrder 4/dense/sin x * exp (y^2 + z)/liftSmoothSerisAD,1.5887722825549226e-3,1.576228279020725e-3,1.6295585587528154e-3,6.93143754371718e-5,2.395433632504001e-5,1.385882410184279e-4
